row_id,document_id,fact_id,quoted_sentence_sha256,extracted_concept,type,our_value,flag,correct (Y/N/Unsure),corrected_value,comment
et_37a93baf-A01,et_37a93baf,e1,9bf8eb98f7652d0994685ecf67c8a585,complaint of unfair dismissal,—,,NO_VALUE (relative ref — not machine-resolvable),,,
et_37a93baf-A02,et_37a93baf,e2,9bf8eb98f7652d0994685ecf67c8a585,time limit,Time period,P3M,,,,
et_37a93baf-A03,et_37a93baf,e3,fcc491bcb95653d77b70d3ee2fd95f7d,present complaint to the Tribunal,—,,NO_VALUE (relative ref — not machine-resolvable),,,
et_37a93baf-A04,et_37a93baf,e4,1ae0dae009b90471acf0cf03e753a2fb,unfair dismissal complaint,—,,NO_VALUE (relative ref — not machine-resolvable),,,
et_37a93baf-A05,et_37a93baf,e5,a059da8be4ee94b816c905f04b05d7ca,complaint was presented to the Tribunal in time,—,,NO_VALUE (relative ref — not machine-resolvable),,,
et_37a93baf-A06,et_37a93baf,e6,d65ef4b41d07c8bb8df0e5bf971c5fd1,effective date of termination of employment,—,,NO_VALUE (relative ref — not machine-resolvable),,,
et_37a93baf-A07,et_37a93baf,e7,51766f85b58c72f433ebe819cc44e1ca,dismissal,Date,2023-12-11,,,,
et_37a93baf-A08,et_37a93baf,e8,79f0bd0645f390e3ba44d7a2c9481d62,written confirmation of dismissal,Date,2023-12-11,,,,
et_37a93baf-A09,et_37a93baf,e9,21b69f12b5a64558bd9de1e53b953cab,effective date of termination (EDT),Date,2023-12-11,,,,
et_37a93baf-A10,et_37a93baf,e10,4fa7d1089a37b850333d2049dade8ebc,access to information,—,,NO_VALUE (relative ref — not machine-resolvable),,,
et_37a93baf-A11,et_37a93baf,e11,c18ff59211e16ac3a22783eb8ce5bc1e,submission of an appeal,Date,2023-12-18,,,,
et_37a93baf-A12,et_37a93baf,e12,c18ff59211e16ac3a22783eb8ce5bc1e,appeal hearing,Date,2024-01-23,,,,
et_37a93baf-A13,et_37a93baf,e13,c18ff59211e16ac3a22783eb8ce5bc1e,appeal outcome was sent,Date,2024-02-28,,,,
et_37a93baf-A14,et_37a93baf,e14,961a6e0819263151d974d84ed81e5f80,submission of further queries,Date,2024-03-12,,,,
et_37a93baf-A15,et_37a93baf,e15,0f471d41b6d475cea2eb36b43229c126,response to further queries,Date,2024-03-20,,,,
et_37a93baf-A16,et_37a93baf,e16,fca585239898d938c03a2ac6c6665b91,presenting her complaint to the Tribunal,Date,2024-06-18,,,,
et_37a93baf-A17,et_37a93baf,e17,d4f53e7cf8878d6582e1e000c6b4c41f,time limit,Date,2024-03-10,,,,
