row_id,document_id,fact_id,quoted_sentence_sha256,extracted_concept,type,our_value,flag,correct (Y/N/Unsure),corrected_value,comment
et_b7d67901-A01,et_b7d67901,e1,1075e96a82ee00cb0e61996b650df89a,claim,Date,2021-09-15,,,,
et_b7d67901-A02,et_b7d67901,e2,8373580c35f7370f257c93bf4fc68931,last day of service,Date,2020-07-23,,,,
et_b7d67901-A03,et_b7d67901,e3,ffd0592d6c679d9b16050f9160db1408,dismissal,Date,2020-06-16,,,,
et_b7d67901-A04,et_b7d67901,e4,87886ec631b3872b583614e62ec7165d,last day of service,Date,2020-07-23,,,,
et_b7d67901-A05,et_b7d67901,e5,9c170a6e171cdc27d78f7976c1b31095,decision to dismiss,Date,2020-01-19,,,,
et_b7d67901-A06,et_b7d67901,e6,19127a2993b920ea04aac07f3a9fbc36,appeal,Date,2021-01-21,,,,
et_b7d67901-A07,et_b7d67901,e7,baad0dbbd87e119e9c6198930848ba7d,Effective Date of Termination,Date,2021-01-19,,,,
et_b7d67901-A08,et_b7d67901,e8,144288239b3db9e6cac1b7139e8e9e7d,full reasons for decision,Date,2021-09-01,,,,
et_b7d67901-A09,et_b7d67901,e9,c7b664c46aa9b3bc447fdb0d894bfb3d,lump sum payment,Date,2020-07-24,,,,
et_b7d67901-A10,et_b7d67901,e10,6e2dfb54ce1e98a37ac62bdb380969e5,awareness of dismissal,Date,2020-08-02,,,,
et_b7d67901-A11,et_b7d67901,e11,6b99774a41070293a15d095d1a4619e4,union awareness of termination,Date,2020-09-23,,,,
et_b7d67901-A12,et_b7d67901,e12,3f6885e5f3194af862efbe2c0cae79e6,appeal result letter,Date,2021-01-19,,,,
et_b7d67901-A13,et_b7d67901,e13,275fd87fd16e60ef0ff72db63d9233d9,appeal hearing,Date,2021-03-23,,,,
et_b7d67901-A14,et_b7d67901,e14,48f1244cb27e7e05474225aaece612b3,early conciliation period,Time period,P30D,,,,
et_b7d67901-A15,et_b7d67901,e15,fcf2a86a235474fbfd0d5bec524c162c,time limit,Date,2020-11-01,,,,
et_b7d67901-A16,et_b7d67901,e16,ac338352d703eaceab536e42256382be,judgment,Date,2022-10-04,,,,
et_b7d67901-A17,et_b7d67901,e17,ea5895da2cd2b6ecdfda5e00fdb3dee8,judgment,Date,2022-10-12,,,,
